ID,X,Y,Z,PCI,RSRP(dBm)
31881609,800925.04,348758.9,1.5,2,-85.12176
31881610,800911.07,348759.62,1.5,2,-82.94025
31881611,800898.9,348765.74,1.5,2,-83.16953
31881612,800886.48,348771.76,1.5,2,-86.68304
31881613,800875.42,348764.24,1.5,2,-83.02158
31881614,800864.72,348757.33,1.5,2,-83.83719
31881615,800854.13,348748.32,1.5,2,-85.23977
31881616,800842.6,348740.42,1.5,2,-86.58168
31881617,800829.42,348739.45,1.5,2,-85.40321
31881618,800817.81,348747.15,1.5,2,-85.46684
31881619,800807.14,348756.25,1.5,2,-89.29249
31881620,800797.01,348765.84,1.5,2,-87.47486
31881621,800786.17,348774.7,1.5,2,-87.97326
31881622,800775.46,348783.7,1.5,2,-91.38264
31881623,800774.74,348789.18,1.5,2,-89.73171
31881624,800783.73,348778.48,1.5,2,-87.85522
31881625,800793.92,348768.99,1.5,2,-87.68983
31881626,800804.02,348759.42,1.5,2,-85.68023
31881627,800815.91,348754.59,1.5,2,-85.02937
31881628,800822.16,348766.74,1.5,2,-84.79242
31881629,800825.97,348780.22,1.5,2,-85.06371
31881630,800831.88,348792.86,1.5,2,-85.29076
31881631,800836.49,348806.07,1.5,2,-88.61261
31881632,800841.3,348819.25,1.5,2,-91.26347
31881633,800846.5,348832.27,1.5,2,-89.62508
31881634,800852.39,348844.98,1.5,2,-91.1983
31881635,800858.73,348857.47,1.5,2,-92.2278
31881636,800864.92,348870.03,1.5,2,-87.45109
31881637,800871.48,348882.42,1.5,2,-89.34522
31881638,800877.55,348895.09,1.5,2,-95.12762
31881639,800883.85,348907.65,1.5,2,-95.28672
31881640,800890.39,348920.03,1.5,2,-95.7249
31881641,800896.91,348932.45,1.5,2,-97.07549
31881642,800903.93,348944.57,1.5,2,-97.00678
31881643,800911.56,348956.36,1.5,2,-96.80689
31881644,800918.99,348968.23,1.5,2,-96.58189
31881645,800926.79,348979.86,1.5,2,-96.50241
31881646,800935.13,348991.14,1.5,2,-97.77409
31881647,800943.8,349002.17,1.5,2,-99.91528
31881648,800952.56,349013.12,1.5,2,-98.82625
31881649,800962.19,349023.3,1.5,2,-101.189
31881650,800971.72,349033.52,1.5,2,-100.6332
31881651,800980.05,349044.74,1.5,2,-100.6485
31881652,800988.13,349056.15,1.5,2,-100.6946
31881653,801006.4,349077.25,1.5,2,-101.4277
31881654,801016.34,349087.12,1.5,2,-102.0074
31881655,801026.23,349097.06,1.5,2,-101.7021
31881656,801035.64,349107.47,1.5,2,-103.0033
31881657,801046.24,349116.45,1.5,2,-102.4757
31881658,801057.27,349125.11,1.5,2,-102.9438
31881659,801067.48,349134.7,1.5,2,-100.5977
31881660,801077.33,349144.68,1.5,2,-104.2805
31881661,801087.16,349154.67,1.5,2,-101.049
31881662,801097.23,349164.39,1.5,2,-100.2641
31881663,801107.5,349173.95,1.5,2,-104.3543
