[ID] [name of material]  [Thickness]   [Color: Red]  [Color: Green]  [Color: Blue]   [Frequency (in MHz)]  [Dielectrictity (relative)]   [Permeability (relative)]   [Conductivity (in S/m)]   [Transmission Loss (in dB)]   [Reflection Loss (in dB)] 
57  "Wood (Fir); thickness: 0.1 m." 191 139 117 900 1.92 1 0.003 0.53 15.82
57  "Wood (Fir); thickness: 0.1 m." 191 139 117 1800 1.92 1 0.005 0.82 15.82
57  "Wood (Fir); thickness: 0.1 m." 191 139 117 2000 1.92 1 0.006 0.89 15.82
57  "Wood (Fir); thickness: 0.1 m." 191 139 117 3500 1.92 1 0.009 1.38 15.82
57  "Wood (Fir); thickness: 0.1 m." 191 139 117 5000 1.92 1 0.014 1.87 15.82
58  "Wood (Fir); thickness: 0.15 m." 191 139 117 900 1.92 1 0.003 0.67 15.82
58  "Wood (Fir); thickness: 0.15 m." 191 139 117 1800 1.92 1 0.005 1.12 15.82
58  "Wood (Fir); thickness: 0.15 m." 191 139 117 2000 1.92 1 0.006 1.21 15.82
58  "Wood (Fir); thickness: 0.15 m." 191 139 117 3500 1.92 1 0.009 1.95 15.82
58  "Wood (Fir); thickness: 0.15 m." 191 139 117 5000 1.92 1 0.014 2.69 15.82
59  "Wood (Fir); thickness: 0.05 m." 191 139 117 900 1.92 1 0.003 0.38 15.82
59  "Wood (Fir); thickness: 0.05 m." 191 139 117 1800 1.92 1 0.005 0.53 15.82
59  "Wood (Fir); thickness: 0.05 m." 191 139 117 2000 1.92 1 0.006 0.56 15.82
59  "Wood (Fir); thickness: 0.05 m." 191 139 117 3500 1.92 1 0.009 0.8 15.82
59  "Wood (Fir); thickness: 0.05 m." 191 139 117 5000 1.92 1 0.014 1.05 15.82
60  "Wood (Particle Board); thickness: 0.1 m." 191 139 117 900 3 1 0.01 1.59 11.43
60  "Wood (Particle Board); thickness: 0.1 m." 191 139 117 1800 3 1 0.02 2.54 11.43
60  "Wood (Particle Board); thickness: 0.1 m." 191 139 117 2000 3 1 0.022 2.75 11.43
60  "Wood (Particle Board); thickness: 0.1 m." 191 139 117 3500 3 1 0.039 4.32 11.43
60  "Wood (Particle Board); thickness: 0.1 m." 191 139 117 5000 3 1 0.056 5.9 11.43
61  "Wood (Particle Board); thickness: 0.15 m." 191 139 117 900 3 1 0.01 2.07 11.43
61  "Wood (Particle Board); thickness: 0.15 m." 191 139 117 1800 3 1 0.02 3.48 11.43
61  "Wood (Particle Board); thickness: 0.15 m." 191 139 117 2000 3 1 0.022 3.8 11.43
61  "Wood (Particle Board); thickness: 0.15 m." 191 139 117 3500 3 1 0.039 6.16 11.43
